         137155898 function calls (137146730 primitive calls) in 54.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1189/1187    0.476    0.000   64.292    0.054 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:323(wait)
  536/532    0.237    0.000   30.712    0.058 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\threading.py:637(wait)
 29642842   14.737    0.000   14.737    0.000 {built-in method pygame.event.get}
 29642842   13.714    0.000   13.714    0.000 {built-in method pygame.event.pump}
 59285686    5.234    0.000    5.234    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    4.979    4.979 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_utils\_utils.py:240(wrapper)
        1    0.000    0.000    4.966    4.966 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\resources\chat\completions.py:775(create)
        1    0.000    0.000    4.965    4.965 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_base_client.py:1263(post)
        1    0.000    0.000    4.965    4.965 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_base_client.py:940(request)
        1    0.000    0.000    4.965    4.965 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_base_client.py:962(_request)
        1    0.000    0.000    4.890    4.890 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_client.py:891(send)
        1    0.000    0.000    4.859    4.859 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_client.py:942(_send_handling_auth)
        1    0.000    0.000    4.859    4.859 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_client.py:976(_send_handling_redirects)
        1    0.000    0.000    4.859    4.859 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_client.py:1013(_send_single_request)
        1    0.000    0.000    4.857    4.857 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpx\_transports\default.py:217(handle_request)
        1    0.000    0.000    4.857    4.857 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_sync\connection_pool.py:159(handle_request)
        1    0.000    0.000    4.857    4.857 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_sync\connection.py:67(handle_request)
        5    0.000    0.000    4.843    0.969 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_sync\http11.py:216(_receive_event)
        4    0.000    0.000    4.842    1.210 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_backends\sync.py:122(read)
        1    0.000    0.000    4.823    4.823 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_sync\http11.py:72(handle_request)
        1    0.000    0.000    4.822    4.822 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\httpcore\_sync\http11.py:179(_receive_response_headers)
      311    0.524    0.002    3.436    0.011 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\renderer.py:9(render)
   525675    1.870    0.000    2.879    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\renderer.py:87(get_tile_brightness)
    35/33    1.369    0.039    1.369    0.041 {built-in method time.sleep}
  4731090    0.508    0.000    0.508    0.000 {built-in method builtins.max}
  9472359    0.502    0.000    0.502    0.000 {built-in method builtins.abs}
  1012646    0.346    0.000    0.346    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
      344    0.274    0.001    0.274    0.001 {built-in method pygame.transform.scale}
        1    0.000    0.000    0.244    0.244 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\concurrent\futures\thread.py:54(run)
        1    0.000    0.000    0.244    0.244 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\ai\game_director.py:21(generate_yaml)
   525675    0.154    0.000    0.204    0.000 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\camera.py:23(apply)
        1    0.000    0.000    0.155    0.155 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src/main.py:62(create_floor)
   495219    0.147    0.000    0.147    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.147    0.147 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon.py:15(__init__)
       45    0.029    0.001    0.100    0.002 {built-in method _io.open}
        7    0.000    0.000    0.079    0.011 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\__init__.py:117(safe_load)
        7    0.000    0.000    0.079    0.011 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\__init__.py:74(load)
      344    0.075    0.000    0.075    0.000 {built-in method pygame.display.flip}
        1    0.000    0.000    0.074    0.074 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_base_client.py:1100(_process_response)
        1    0.000    0.000    0.074    0.074 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_response.py:279(parse)
        1    0.000    0.000    0.074    0.074 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_response.py:128(_parse)
        1    0.000    0.000    0.074    0.074 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_base_client.py:570(_process_response_data)
     13/1    0.000    0.000    0.074    0.074 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_models.py:445(construct_type)
      3/1    0.000    0.000    0.074    0.074 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_models.py:202(construct)
     14/7    0.000    0.000    0.074    0.011 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_models.py:379(_construct_field)
        2    0.000    0.000    0.072    0.036 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_models.py:674(validate_type)
        2    0.000    0.000    0.072    0.036 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\openai\_models.py:725(_validate_non_model_type)
   486283    0.065    0.000    0.065    0.000 {method 'set_alpha' of 'pygame.surface.Surface' objects}
        4    0.000    0.000    0.062    0.015 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ssl.py:1225(recv)
        4    0.000    0.000    0.062    0.015 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2288.0_x64__qbz5n2kfra8p0\Lib\ssl.py:1094(read)
        4    0.016    0.004    0.062    0.015 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.001    0.001    0.059    0.059 C:\Users\habbo\Documents\GitHub\rogue-ai-gm/src\core\systems\dungeon_generator.py:58(generate)
        7    0.000    0.000    0.052    0.007 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\loader.py:33(__init__)
        7    0.000    0.000    0.052    0.007 C:\Users\habbo\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\yaml\reader.py:59(__init__)
